Local time,Open,High,Low,Close,Volume
02.06.2024 23:00:00.000 GMT+0200,2.6529,2.7967,2.6259,2.7541,6.451100000000001
03.06.2024 23:00:00.000 GMT+0200,2.7582,2.8259,2.5729,2.6111,5.3639
04.06.2024 23:00:00.000 GMT+0200,2.6109,2.7840,2.6019,2.7567,5.1319
05.06.2024 23:00:00.000 GMT+0200,2.7571,2.8742,2.7181,2.8040,4.4144
06.06.2024 23:00:00.000 GMT+0200,2.8032,2.9641,2.7889,2.9317,5.0390999999999995
07.06.2024 23:00:00.000 GMT+0200,2.9317,2.9317,2.9317,2.9317,0
08.06.2024 23:00:00.000 GMT+0200,2.9317,2.9317,2.9317,2.9317,0
09.06.2024 23:00:00.000 GMT+0200,2.9750,3.0930,2.8599,2.9731,5.9453
10.06.2024 23:00:00.000 GMT+0200,2.9751,3.1532,2.9609,3.1471,5.8043
11.06.2024 23:00:00.000 GMT+0200,3.1217,3.1247,2.9919,3.0237,3.8754
12.06.2024 23:00:00.000 GMT+0200,3.0181,3.0847,2.8959,2.9139,3.5002999999999997
13.06.2024 23:00:00.000 GMT+0200,2.9169,2.9961,2.8679,2.8809,3.3516999999999997
14.06.2024 23:00:00.000 GMT+0200,2.8809,2.8809,2.8809,2.8809,0
15.06.2024 23:00:00.000 GMT+0200,2.8809,2.8809,2.8809,2.8809,0
16.06.2024 23:00:00.000 GMT+0200,2.8271,2.8362,2.7569,2.7840,4.4937000000000005
17.06.2024 23:00:00.000 GMT+0200,2.7831,2.9141,2.7737,2.8972,4.479
18.06.2024 23:00:00.000 GMT+0200,2.9042,2.9237,2.8562,2.9137,1.8514999999999997
19.06.2024 23:00:00.000 GMT+0200,2.9097,2.9422,2.7179,2.7221,4.343400000000001
20.06.2024 23:00:00.000 GMT+0200,2.7201,2.7677,2.6662,2.7150,3.7342000000000004
21.06.2024 23:00:00.000 GMT+0200,2.7150,2.7150,2.7150,2.7150,0
22.06.2024 23:00:00.000 GMT+0200,2.7150,2.7150,2.7150,2.7150,0
23.06.2024 23:00:00.000 GMT+0200,2.7890,2.9500,2.7890,2.9269,3.4522
24.06.2024 23:00:00.000 GMT+0200,2.9281,2.9459,2.8280,2.8491,3.8838999999999997
